tradeId,asset,timestamp,datetime,hourOfDay,dayOfWeek,minuteOfHour,isMarketOpen,timeBlock6h,direction,directionEncoded,entryPrice,openPrice,highPrice,lowPrice,closePrice,rsi1m,rsi1mPrev,bbUpper,bbMiddle,bbLower,rsi5m,rsi5mPrev,adx15m,sma15m,sma15mPrev,bbWidth,bbWidthPct,pricePositionInBB,distToUpperBB,distToLowerBB,rsiDelta1m,rsiDelta5m,rsiDivergence,smaSlope15m,distToSma15m,atr1m,candleBodyPct,upperWickPct,lowerWickPct,atrPercent,dynamicTpPct,dynamicSlPct,tpSlRatio,normalizedSlope,slopeStrength,rsiDivergenceType,rsiDivergenceEncoded,regime,regimeEncoded,strategyType,strategyEncoded,confidence,priceChange1,priceChange5,priceChange15,target,exitReason,pnl,barsHeld
R_100_1764469876510_1,R_100,1756525920,2025-08-30T03:52:00.000Z,3,6,52,1,0,PUT,0,1225.830000,1225.990000,1226.420000,1225.040000,1225.830000,74.650000,75.510000,1228.403466,1216.814500,1205.225534,54.460000,56.800000,44.671117,1230.098500,1232.013000,0.019048,1.904804,0.777938,0.209937,1.680858,-0.860000,-2.340000,20.190000,-0.155396,-0.347005,2.399887,0.115942,0.311594,0.572464,0.195777,0.004894,0.002937,1.666667,-0.262453,0.262453,,0,BEARISH_TREND,0,MOMENTUM,1,85,-0.019575,0.776895,1.028557,1,TP,32.000000,10
R_100_1764469876512_2,R_100,1756528020,2025-08-30T04:27:00.000Z,4,6,27,1,0,PUT,0,1228.240000,1230.210000,1230.210000,1227.730000,1228.240000,71.020000,77.620000,1231.170332,1219.607500,1208.044668,59.300000,58.440000,37.764057,1225.947000,1227.827500,0.018962,1.896156,0.746573,0.238580,1.644250,-6.600000,0.860000,11.720000,-0.153157,0.187039,2.316197,0.794355,0,0.205645,0.188579,0.004714,0.002829,1.666667,-0.197673,0.197673,,0,BEARISH_TREND,0,MOMENTUM,1,85,-0.129286,0.283319,1.166315,0,TIMEOUT,21.559304,30
R_100_1764469876512_3,R_100,1756537620,2025-08-30T07:07:00.000Z,7,6,7,1,1,PUT,0,1235.340000,1237.410000,1237.590000,1235.060000,1235.340000,61.460000,68.980000,1240.658021,1231.396500,1222.134979,63.360000,70.160000,24.300123,1217.563500,1216.596000,0.015042,1.504231,0.425794,0.430490,1.068938,-7.520000,-6.800000,-1.900000,0.079525,1.460006,2.493261,0.818182,0.071146,0.110672,0.201828,0.005046,0.003027,1.666667,0.050367,0.050367,,0,RANGE,1,MEAN_REVERSION,0,80,-0.194708,-0.074418,0.430064,1,TP,32.000000,5
R_100_1764469876512_4,R_100,1756545480,2025-08-30T09:18:00.000Z,9,6,18,1,1,CALL,1,1230.530000,1227.710000,1230.570000,1226.410000,1230.530000,40.760000,32.620000,1243.550377,1234.474000,1225.397623,51.020000,43.380000,26.144031,1226.779000,1225.635500,0.014705,1.470485,-0.434535,1.058111,0.417087,8.140000,7.640000,-10.260000,0.093299,0.305760,2.560953,0.677885,0.009615,0.312500,0.208118,0.005203,0.003122,1.666667,0.086074,0.086074,,0,RANGE,1,MEAN_REVERSION,0,80,0.226430,0.004876,-0.604998,1,TP,32.000000,5
R_100_1764469876512_5,R_100,1756548840,2025-08-30T10:14:00.000Z,10,6,14,1,1,CALL,1,1226.780000,1227.190000,1227.190000,1224.590000,1226.780000,29.480000,31.070000,1236.260049,1231.025000,1225.789951,40.180000,44.090000,23.071245,1229.708500,1229.111000,0.008505,0.850519,-0.810881,0.772759,0.080703,-1.590000,-3.910000,-10.700000,0.048612,-0.238146,2.238297,0.157692,0,0.842308,0.182453,0.004561,0.002737,1.666667,0.094756,0.094756,,0,RANGE,1,MEAN_REVERSION,0,80,-0.068425,-0.352525,-0.499619,0,TIMEOUT,1.565073,30
R_100_1764469876513_6,R_100,1756551780,2025-08-30T11:03:00.000Z,11,6,3,1,1,PUT,0,1232.620000,1234.910000,1235.320000,1232.450000,1232.620000,60.330000,69.380000,1234.443848,1228.135500,1221.827152,51.340000,48.560000,17.666044,1232.205000,1231.448500,0.010273,1.027305,0.710883,0.147965,0.875602,-9.050000,2.780000,8.990000,0.061432,0.033679,2.291440,0.797909,0.142857,0.059233,0.185900,0.004647,0.002788,1.666667,0.057485,0.057485,,0,RANGE,1,MEAN_REVERSION,0,80,-0.187055,0.208935,0.518650,0,TIMEOUT,17.296490,30
R_100_1764469876513_7,R_100,1756554780,2025-08-30T11:53:00.000Z,11,6,53,1,1,CALL,1,1223.650000,1224.370000,1225.680000,1223.650000,1223.650000,35.990000,36.650000,1232.318760,1227.678500,1223.038240,40.270000,42.540000,16.015618,1232.626500,1232.864000,0.007559,0.755941,-0.868163,0.708435,0.049995,-0.660000,-2.270000,-4.280000,-0.019264,-0.728242,2.297982,0.354680,0.645320,0,0.187797,0.004695,0.002817,1.666667,0.030710,0.030710,,0,RANGE,1,MEAN_REVERSION,0,80,-0.026144,-0.345308,-0.493608,0,SL,-20.000000,18
R_100_1764469876513_8,R_100,1756568100,2025-08-30T15:35:00.000Z,15,6,35,1,2,CALL,1,1195.670000,1195.830000,1196.020000,1194.510000,1195.670000,28.580000,28.630000,1217.668139,1204.618500,1191.568861,28.700000,32.060000,33.015212,1220.138500,1222.140500,0.021666,2.166601,-0.685728,1.839817,0.342999,-0.050000,-3.360000,-0.120000,-0.163811,-2.005387,2.536903,0.105960,0.125828,0.768212,0.212174,0.005304,0.003183,1.666667,-0.108887,0.108887,,0,RANGE,1,MEAN_REVERSION,0,80,-0.003345,-0.363324,-1.365264,0,SL,-20.000000,6
R_100_1764469876513_9,R_100,1756570380,2025-08-30T16:13:00.000Z,16,6,13,1,2,PUT,0,1208.150000,1209.460000,1209.460000,1207.120000,1208.150000,71.540000,76.250000,1210.045909,1198.667500,1187.289091,53.540000,50.600000,34.832322,1216.984500,1218.308500,0.018985,1.898510,0.833377,0.156927,1.726682,-4.710000,2.940000,18.000000,-0.108675,-0.725934,2.501810,0.559829,0,0.440171,0.207078,0.005177,0.003106,1.666667,-0.150589,0.150589,,0,BEARISH_TREND,0,MOMENTUM,1,85,-0.113268,0.371361,1.080118,0,SL,-20.000000,15
R_100_1764469876513_10,R_100,1756576800,2025-08-30T18:00:00.000Z,18,6,0,1,3,PUT,0,1246.130000,1247.940000,1248.450000,1244.670000,1246.130000,61.150000,68.420000,1248.317971,1243.379500,1238.441029,60.930000,69.650000,30.027941,1220.601500,1219.375500,0.007944,0.794363,0.556954,0.175581,0.617028,-7.270000,-8.720000,0.220000,0.100543,2.091469,2.371223,0.478836,0.134921,0.386243,0.190287,0.004757,0.002854,1.666667,0.085460,0.085460,,0,RANGE,1,MEAN_REVERSION,0,80,-0.158640,0.159950,0.271977,0,SL,-20.000000,26
