tradeId,asset,timestamp,datetime,hourOfDay,dayOfWeek,minuteOfHour,isMarketOpen,direction,directionEncoded,entryPrice,openPrice,highPrice,lowPrice,closePrice,rsi1m,rsi1mPrev,bbUpper,bbMiddle,bbLower,rsi5m,rsi5mPrev,adx15m,sma15m,sma15mPrev,bbWidth,bbWidthPct,pricePositionInBB,distToUpperBB,distToLowerBB,rsiDelta1m,rsiDelta5m,rsiDivergence,smaSlope15m,distToSma15m,atr1m,candleBodyPct,upperWickPct,lowerWickPct,regime,regimeEncoded,strategyType,strategyEncoded,confidence,priceChange1,priceChange5,priceChange15,target,exitReason,pnl,barsHeld
R_100_1764468599964_1,R_100,1756514280,2025-08-30T00:38:00.000Z,0,6,38,1,CALL,1,1245.230000,1246.800000,1248.150000,1245.230000,1245.230000,28.620000,30.790000,1261.246171,1253.654000,1246.061829,28.390000,37.410000,20.018656,1259.190000,1258.902500,0.012112,1.211207,-1.109564,1.286202,-0.066801,-2.170000,-9.020000,0.230000,0.022837,-1.108649,2.444592,0.537671,0.462329,0,BULLISH_TREND,2,MOMENTUM,1,85,-0.117911,-0.499409,-0.831429,0,SL,-20.000000,1
R_100_1764468599966_2,R_100,1756514640,2025-08-30T00:44:00.000Z,0,6,44,1,CALL,1,1236.280000,1235.930000,1237.380000,1235.750000,1236.280000,22.670000,22.170000,1264.108086,1247.972000,1231.835914,26.590000,28.390000,20.018656,1259.190000,1258.902500,0.025860,2.585969,-0.724587,2.250953,0.359472,0.500000,-1.800000,-3.920000,0.022837,-1.819424,2.595151,0.214724,0.674847,0.110429,BULLISH_TREND,2,MOMENTUM,1,85,0.011326,-0.234831,-1.637414,0,SL,-20.000000,15
R_100_1764468599966_3,R_100,1756525080,2025-08-30T03:38:00.000Z,3,6,38,1,PUT,0,1216.240000,1213.600000,1216.820000,1213.600000,1216.240000,70.340000,65.680000,1213.490356,1207.029000,1200.567644,52.500000,36.520000,49.476179,1232.013000,1234.297500,0.010706,1.070621,1.425552,-0.226077,1.288591,4.660000,15.980000,17.840000,-0.185085,-1.280262,2.436240,0.819876,0.180124,0,BEARISH_TREND,0,MOMENTUM,1,85,0.238184,0.896775,0.782234,0,SL,-20.000000,12
R_100_1764468599966_4,R_100,1756527900,2025-08-30T04:25:00.000Z,4,6,25,1,PUT,0,1227.950000,1225.300000,1228.600000,1225.300000,1227.950000,75.080000,69.570000,1228.201214,1218.074000,1207.946786,59.300000,58.440000,37.764057,1225.947000,1227.827500,0.016628,1.662824,0.975194,0.020458,1.628993,5.510000,0.860000,15.780000,-0.153157,0.163384,2.316181,0.803030,0.196970,0,BEARISH_TREND,0,MOMENTUM,1,85,0.263734,0.296491,1.235820,0,TIMEOUT,24.626410,30
R_100_1764468599967_5,R_100,1756533540,2025-08-30T05:59:00.000Z,5,6,59,1,PUT,0,1223.460000,1222.860000,1223.850000,1222.490000,1223.460000,70.230000,68.310000,1225.208924,1218.370000,1211.531076,59.230000,55.550000,25.062339,1215.872500,1216.194500,0.011226,1.122635,0.744269,0.142949,0.975015,1.920000,3.680000,11.000000,-0.026476,0.624037,2.048194,0.441176,0.286765,0.272059,BEARISH_TREND,0,MOMENTUM,1,85,0.068705,0.235132,0.580401,0,TIMEOUT,-5.329148,30
R_100_1764468599967_6,R_100,1756540020,2025-08-30T07:47:00.000Z,7,6,47,1,CALL,1,1220.100000,1221.890000,1221.890000,1219.990000,1220.100000,28,30.880000,1237.541129,1229.233000,1220.924871,39.490000,47.120000,24.156081,1220.279500,1219.443500,0.013518,1.351758,-1.099285,1.429484,-0.067607,-2.880000,-7.630000,-11.490000,0.068556,-0.014710,2.333856,0.942105,0,0.057895,BULLISH_TREND,2,MOMENTUM,1,85,-0.154666,-0.621472,-0.987608,1,TP,32.000000,21
R_100_1764468599967_7,R_100,1756545120,2025-08-30T09:12:00.000Z,9,6,12,1,CALL,1,1229.850000,1233.180000,1233.650000,1229.850000,1229.850000,26.410000,31.470000,1246.253112,1238.745000,1231.236888,43.380000,52.860000,26.009635,1225.635500,1225.018500,0.012122,1.212213,-1.184719,1.333749,-0.112769,-5.060000,-9.480000,-16.970000,0.050367,0.343862,2.430186,0.876316,0.123684,0,BULLISH_TREND,2,MOMENTUM,1,85,-0.233628,-0.716863,-0.858525,1,TP,32.000000,11
R_100_1764468599967_8,R_100,1756547640,2025-08-30T09:54:00.000Z,9,6,54,1,CALL,1,1235.940000,1237.430000,1238.730000,1235.730000,1235.940000,29.390000,32.100000,1256.424193,1245.839000,1235.253807,48.230000,54.750000,24.797678,1229.111000,1228.197000,0.016993,1.699288,-0.935174,1.657378,0.055520,-2.710000,-6.520000,-18.840000,0.074418,0.555605,2.348155,0.496667,0.433333,0.070000,BULLISH_TREND,2,MOMENTUM,1,85,-0.130903,-0.501542,-1.176188,0,SL,-20.000000,7
R_100_1764468599967_9,R_100,1756548360,2025-08-30T10:06:00.000Z,10,6,6,1,CALL,1,1229.820000,1230.230000,1230.380000,1229.250000,1229.820000,26.090000,27.400000,1244.495857,1235.524000,1226.552143,44.090000,42.890000,23.071245,1229.708500,1229.111000,0.014523,1.452316,-0.635766,1.193334,0.265718,-1.310000,1.200000,-18.000000,0.048612,0.009067,2.157076,0.362832,0.132743,0.504425,BULLISH_TREND,2,MOMENTUM,1,85,-0.059323,-0.090176,-0.740920,0,SL,-20.000000,9
R_100_1764468599967_10,R_100,1756551780,2025-08-30T11:03:00.000Z,11,6,3,1,PUT,0,1232.620000,1234.910000,1235.320000,1232.450000,1232.620000,60.330000,69.380000,1234.443848,1228.135500,1221.827152,51.340000,48.560000,17.666044,1232.205000,1231.448500,0.010273,1.027305,0.710883,0.147965,0.875602,-9.050000,2.780000,8.990000,0.061432,0.033679,2.291440,0.797909,0.142857,0.059233,RANGE,1,MEAN_REVERSION,0,80,-0.187055,0.208935,0.518650,0,TIMEOUT,17.296490,30
